2026-05-14 16:07:48:885 0 sec: 0 operations; est completion in 0 second 
2026-05-14 16:07:53:856 5 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2026-05-14 16:07:58:855 10 sec: 23929 operations; 4786.76 current ops/sec; est completion in 1 minute [READ AverageLatency(us)=3796.04] [UPDATE AverageLatency(us)=2779.51] 
2026-05-14 16:08:03:855 15 sec: 66003 operations; 8414.8 current ops/sec; est completion in 54 seconds [READ AverageLatency(us)=1048.08] [UPDATE AverageLatency(us)=1083.98] 
2026-05-14 16:08:08:855 20 sec: 108574 operations; 8514.2 current ops/sec; est completion in 36 seconds [READ AverageLatency(us)=1032] [UPDATE AverageLatency(us)=1077.18] 
2026-05-14 16:08:13:855 25 sec: 151370 operations; 8559.2 current ops/sec; est completion in 25 seconds [READ AverageLatency(us)=1029.48] [UPDATE AverageLatency(us)=1069] 
2026-05-14 16:08:18:855 30 sec: 194674 operations; 8660.8 current ops/sec; est completion in 17 seconds [READ AverageLatency(us)=1019.23] [UPDATE AverageLatency(us)=1054.71] 
2026-05-14 16:08:23:855 35 sec: 236385 operations; 8342.2 current ops/sec; est completion in 10 seconds [READ AverageLatency(us)=994.56] [CLEANUP AverageLatency(us)=0] [UPDATE AverageLatency(us)=1032.05] 
2026-05-14 16:08:28:855 40 sec: 263796 operations; 5482.2 current ops/sec; est completion in 6 second [READ AverageLatency(us)=1075.57]  [UPDATE AverageLatency(us)=1108.49] 
2026-05-14 16:08:33:855 45 sec: 290098 operations; 5260.4 current ops/sec; est completion in 2 second [READ AverageLatency(us)=1120.27]  [UPDATE AverageLatency(us)=1156.5] 
2026-05-14 16:08:38:857 50 sec: 299995 operations; 1979 current ops/sec; est completion in 1 second [READ AverageLatency(us)=1704.77] [CLEANUP AverageLatency(us)=0] [UPDATE AverageLatency(us)=1223.22] 
2026-05-14 16:08:38:986 50 sec: 300000 operations; 38.46 current ops/sec; [READ AverageLatency(us)=978.5] [CLEANUP AverageLatency(us)=0] [UPDATE AverageLatency(us)=164814] 
